Проект,Категории,Цена,Заявки
Программист в Игровой проект на постоянную удаленную работу,Веб-программирование,$1500,1
Исполнитель для написания статей под анкоры,Копирайтинг,,101
Копирайтер,Копирайтинг,,46
Для Геймеров – Сделать 20 роликов в игре GTA5 (ГТА5),Видеомонтаж,$240,15
Автор на статьи по медицинской тематике,Копирайтинг,$250,36
Php код для проверки электронной подписи,Веб-программирование,$700,18
Статьи про самостоятельное оформление тур. и миграционных документов,Копирайтинг,,12
Заказ №793765,Видеомонтаж,$200,указан
Заказ №793726,Веб-программирование,$30,5
Заказ №793717,Веб-программирование,,22
Доработка проекта на CodeIgniter,Веб-программирование,,11
Добавление расширения в Google Store,Веб-программирование,$2000,4
Многопоточный Чекер аккаунтов Одноклассники,Прикладное ПО,,9
Заказ №792387,Веб-программирование,$1100,9
Требуется программирование и верстка для сайта.,Веб-программирование,,29
Дизайнер визиток и листовок для онлайн-конструктора,Дизайн продукции,$15,133
Нужно установить шаблон на опенкарт,Системы управления (CMS),,20
Заказ №791331,Логотипы и Знаки,$50,81
Заказ №791010,Логотипы и Знаки,$50,16
Исправление работы сайта после доработок,Интернет-магазины,,11
Требуется опытный Веб-разработчик,Веб-программирование,$700,30
Требуется копирайтер на постоянную основу. Сайт медицинской тематики,Копирайтинг,,46
Написать клоакинг-скрипт,Веб-программирование,,8
"Создать 3-5 аккаунтов ""под ключ""",Служба поддержки,$30,184
Дизайн для сайта для агенства недвижимости.,Дизайн сайтов,$500,14
Заказ №789117,Тестирование сайтов,$50,14
Спец по SEO оптимизации,Поисковые системы (SEO),,20
Создание и Настройка Рекламной Компании Яндекс Директ,Контекстная реклама,$15,16
Исполнитель для написание статей социального характера,Копирайтинг,,нет
Вывод формы для оставления заявки,Системы управления (CMS),,нет
Создание сайта с нуля (одностраничник ),Веб-программирование,,2
Телеграмм Бот,Веб-программирование,$150,нет
Настройка рекламной кампании в Яндексе,Контекстная реклама,,2
Разработка сайта (2 проекта),Веб-программирование,,1
Наполнение двух-сайтов товарами (сайты на open cart),Наполнение сайтов,,5
Прочитать текст на камеру или диктофон,Озвучивание,,111
Экономико-математические методы,"Контрольные, Задачи и Тесты",,нет
Установить SEO плагин для сайта на shop-script,Веб-программирование,,1
Сделать небольшие изменения в opencart 2.x,HTML-верстка,$5,указан
Торговая площадка цифровых товаров,Сайты «под ключ»,,9
Сайт визитка для кафе,Веб-программирование,$100,7
Составить ТЗ на верстку. Срок 1-2 дня.,HTML-верстка,$25,3
Сделать light box,Веб-программирование,,2
Курсовая работа по педагогике,"Рефераты, Курсовые и Дипломы",,нет
Создание сайта на тему работы в интернете,Сайты «под ключ»,,7
Баннер,Баннеры,,14
Внести правки в интернет магазин,Интернет-магазины,,2
Требуется консультация/обучение,Уроки и Репетиторство,,нет
"Изменяемый блок ""Доставка"" в зависимости от GEO IP (Мерчиум)",Веб-программирование,$15,1
Сделать красивую шапку для форума,Баннеры,,12
Интегрировать 1 форму с amocrm,HTML-верстка,$7,1
Переписать на Delphi алгоритм генерации hmac кода с java исходника.,Прикладное ПО,,нет
Дизайн вывески для Ресторана в Таиланде Chunga-Changa (Отрисовка),Дизайн продукции,,7
Нужно написать несколько статей,Редактирование и Корректура,,2
Привести по ссылке 60 покупателей в интернет-магазин,Управление продажами,$500,нет
Рассылка ЛС сообществам ВКонтакте,Веб-программирование,,нет
Составление уникальных текстов на английском,Копирайтинг,,1
Редактирование сайта на opencart,Системы управления (CMS),,нет
"Разработка сайта, справочник детских учреждений с отзывами",Сайты «под ключ»,$200,25
"Сделать видео презентацию - склад автозапчастей, продажа авто",Презентации,,1
Группа ВК,Социальные сети (SMM и SMO),,10
Оформление группы Вконтакте,Иллюстрации и Рисунки,,7
Сайт,Фирменный стиль,,6
Создать прототип сайта.,Дизайн сайтов,,3
Скопировать скрипт Скрытия номера и добавить цель в Аналитику,Веб-программирование,,2
Придумать шапку для сайта,Дизайн сайтов,,10
Проект по ремонту авто,Поисковые системы (SEO),,6
Преддипломная психология,"Рефераты, Курсовые и Дипломы",,1
Обработка звука Adobe Audition,Музыка и Звуки,,5
Нарисовать векторный логотип,Логотипы и Знаки,,14
Сайт по инжинирингу,Дизайн сайтов,,13
Ежедневная публикация отзывов с посуточной оплатой.,Наполнение сайтов,$25,17
Лого для сайта,Логотипы и Знаки,$40,5
Установка сайта на Prestashop,Системы управления (CMS),$100,35
Нужно сайт адаптировать под телефон. У сайта движок joomla,HTML-верстка,,11
Доработать сайт на яваскриптах,Веб-программирование,,3
Настройка рекламы Facebook Instagram,Социальные сети (SMM и SMO),,5
Нужно монетизировать новостной сайт. Украина,Поисковые системы (SEO),,1
Визитки,Фирменный стиль,,указан
Верстка + натяжка на WP. Простой сайт - 2 типовые страницы.,HTML-верстка,$80,10
Php разработка со знаниями WordPress,Веб-программирование,,4
Написать речь презентацию по продаже запчастей и автомобилей ВАЗ,Продающие тексты,,2
Оформление шапки на ютуб-канале,Дизайн сайтов,,11
Продвижение сайта СЕО,Поисковые системы (SEO),,9
Настройка фильтра в теме Superlist на WP Доработка/настройка,Веб-программирование,,1
Ремонт апи,Веб-программирование,,5
Ищу художника в онлайн-проект (книга),Иллюстрации и Рисунки,,9
Верстка характеристик Битрикс,HTML-верстка,,1
Модернизация сайта,Дизайн сайтов,,7
Дизайн макет,Дизайн сайтов,,14
"Глубокий рерайт статей, тематика Выкуп авто.",Рерайтинг,,8
50 небольших статей на английском языке,Копирайтинг,,6
Сделать дизайн для монополии,Дизайн продукции,,6
Продвижение соц сети,Социальные сети (SMM и SMO),$60,5
Видео ролик смонтировать с фото и видео материала,Видеомонтаж,,17
Нужен специалист по продвижению мобильных приложений (ASO),Поисковые системы (SEO),,1
Запостить сайт в каталогах,Наполнение сайтов,,5
Доработка верстки,HTML-верстка,,4
Приложение для кафе-кондитерской на iOS,ПО для мобильных устройств,,1
Необходимо Создать Под Ключ Несколько Сайтов,Сайты «под ключ»,,7
Необходимо Создать Под Ключ Несколько Сайтов,Сайты «под ключ»,,7
Натянуть готовую html верску на WP + сделать адаптив,HTML-верстка,,3
Тест Android приложений,ПО для мобильных устройств,,8
Логотип для общественной организации,Логотипы и Знаки,$20,5
Собрать информацию о компаниях,Наполнение сайтов,,16
Логотип транспортной компании.,Логотипы и Знаки,,24
Добавить сайт в каталоги ресурсов,Поисковые системы (SEO),,нет
Сделать рекламную компанию в яндекс директ,Контекстная реклама,,7
"Настройка Яндекс.Маркет, Merchant, Mytarget",Интернет-магазины,,нет
Нужен видео-ролик из 12 фотографий с движением камеры по картинке,Видеомонтаж,,указан
Создать форму,HTML-верстка,,6
Анализатор калорийности рецептов на joomla,Системы управления (CMS),,2
Интерьер для офиса 200 кв,Интерьеры и Экстерьеры,,13
Добавить 10 уникальных новостей на сайт,Наполнение сайтов,,8
Работа в Вконтакте,Социальные сети (SMM и SMO),,3
Несложное приложение для iOS на Xcode,ПО для мобильных устройств,$100,1
Видеоинфографика для ролика,Анимация,$230,10
Переезд с polylang на wpml,Системы управления (CMS),,нет
Натяжка на Joomla 3,HTML-верстка,,7
Парсер для сайта на dle,Веб-программирование,,6
Расширение ссылочного профиля - постинг в форумах,Социальные сети (SMM и SMO),,нет
Сделать дизайн сайта по цветам,Дизайн сайтов,$155,28
Требуется рерайтер на описания сериалов,Рерайтинг,,22
Синхронизация данных Бугалтерия 1 С 8.0 через штрих код на мобильном у,1С-программирование,,1
Восстановление фото,Обработка фотографий,,11
Публикация картинок на сайт,Наполнение сайтов,,24
Разработать логотип,Логотипы и Знаки,$100,19
"Исправление ""косяков"" на самописной  CRM на PHP Symfony",Системы управления (CMS),,4
Контрольная по предмету Управление человеческими ресурсами,"Контрольные, Задачи и Тесты",,нет
Требуется специалист по доработке сайта на Cotonti,Веб-программирование,$100,1
Нужен прайс на мём. В цвете. Для распечатки на а4 и а5,Дизайн продукции,,21
Провести тест сайта под нагрузкой,Тестирование сайтов,,4
Чертеж лестницы и визуализация.,Чертежи и Схемы,,15
"Написание статей и новостей на тему Прага, Чехия.",Копирайтинг,,5
Добавить на сайт платежную систему Приват24,Веб-программирование,,3
Переводчик немецкого,Переводы,,нет
Перенос сайта на Umi движок,Системы управления (CMS),$230,1
Бюджетно создать интернет-магазин по продаже детской одежды,Интернет-магазины,,19
Исправить ошибку при оформлении заказа,Системы управления (CMS),,указан
Простой сайт на modx,Интернет-магазины,,7
API.VK - upload фото в альбом. После переезда на сервер не работает,Веб-программирование,$12,указан
Заказ №795669,Нейминг и Слоганы,$10,23
Заказ №780497,Сайты «под ключ»,,48
Нужен спец по opencart опенкарт,Системы управления (CMS),$50,2
Редизай +мобильная версия,Дизайн сайтов,,22
Дизайнер-художник для интерфейса ПК игры,Интерфейсы игр и программ,,2
Вёрстка главной страницы под опенкарт,HTML-верстка,,9
Написать преимущества о компании производителе котлов,Продающие тексты,,3
Промдизайн. Упаковка для текстильных изделий.,Дизайн продукции,,указан
Продающий текст с темой похудения,Продающие тексты,,7
Написать программу для заполнения полей договора,Прикладное ПО,,5
Постинг объявлений по доскам,Наполнение сайтов,,4
Составить формулу для размножения текстов,Копирайтинг,,4
Интернет магазин на Wordpress,Интернет-магазины,,6
Сертификат дилера по образцу,Дизайн продукции,,указан
Написание текстов по русскому языку,"Рефераты, Курсовые и Дипломы",,5
Написание текстов по математике,"Рефераты, Курсовые и Дипломы",,3
Простая верстка,HTML-верстка,,33
Нужен специалист по Ukoz,Веб-программирование,,1
Техническое задание для контент-менеджера,Копирайтинг,,2
Восстановить доступ в админку LiveStreet CMS,Системы управления (CMS),$10,указан
Создать логотип,Логотипы и Знаки,,28
Портрет по фото. Векторная графика,Иллюстрации и Рисунки,,нет
Составить бизнес план,Финансовые услуги,,4
Регистрация сайтов в бизнес-каталогах,Наполнение сайтов,,1
Разработка фирменного стиля и печатной продукции косметического салона,Фирменный стиль,,21
Необходимо сверстать сайт и настроить на OpenCart 2 + перенос базы 1.5,HTML-верстка,,3
Написание текстов о комп. играх,Рерайтинг,,16
Реферат экология,"Рефераты, Курсовые и Дипломы",,3
Парсинг сайта,Веб-программирование,$150,указан
Курсовая работа по технологии и процессам формообразования,"Рефераты, Курсовые и Дипломы",,нет
Перевод на немецкий язык,Переводы,,2
Рерайт,Рерайтинг,,5
Написание модуля для WHMCS,Веб-программирование,,1
